BUG_ID,ISSUE_ID,APP,SUBCATEGORY,SUBCATEGORY_NAME,REASON
122,2477,Amaze,A3,Wrong control flow,Up navigation hardcoded to jump to root settings rather than traversing hierarchy one level at a time
124,2360,Amaze,A5,Improper exception handling,getPackageArchiveInfo() returns null for split APKs and code did not handle this null case
125,2131,Amaze,A2,Missing cases,Move operation did not call MediaScanner to notify system of new file location — missing case in post-move workflow
126,2113,Amaze,A7,Incorrect variable assignment,URI encoding incorrectly applied to filenames during rename assigning percent-encoded string where literal needed
127,2079,Amaze,A8,Other wrong implementation,Race condition between clearing tabs DB and creating new tabs caused duplicate tab entries on fresh install
128,2010,Amaze,A5,Improper exception handling,Database query failure during tab restore not properly handled silently falling back to home directory
133,1920,Amaze,A5,Improper exception handling,No user feedback shown when FTP start button disabled due to missing WiFi — unhandled constraint state
135,1916,Amaze,A3,Wrong control flow,Documents shortcut used wrong MIME filter logic causing content query to return empty results
137,1872,Amaze,A3,Wrong control flow,Search result click handler does not distinguish directories from files applying wrong open handler to directories
138,1866,Amaze,A5,Improper exception handling,Permission denial triggers repeated toast loop without offering exit path — denied-permission state not handled
139,1834,Amaze,A7,Incorrect variable assignment,Compression call passes incorrect argument that inadvertently sets password on archive without user intent
140,1797,Amaze,A3,Wrong control flow,Search results list not cleared before populating new query results causing old and new results to accumulate
141,1712,Amaze,A4,Lack of data sync,After unhiding file notifyDataSetChanged() not called on adapter so UI does not sync with updated data
144,1499,Amaze,A3,Wrong control flow,Back button navigation resolves to parent-directory notation instead of traversing navigation history stack
145,1497,Amaze,A2,Missing cases,Root explorer failed to handle symlinks to directories as navigable case treating them as files
146,1475,Amaze,A2,Missing cases,Rename operation does not trigger MediaScanner notification leaving gallery cache stale with old filename
147,1467,Amaze,A2,Missing cases,Search does not check show-hidden-files setting before including hidden files — missing filter case
148,5292,K-9 Mail,A3,Wrong control flow,Storage refactoring caused download flags to always be set breaking conditional check in MessageLoaderHelper
149,5206,K-9 Mail,A2,Missing cases,Search results view failed to bind account list data to drawer — missing case in drawer initialization
150,5198,K-9 Mail,A4,Lack of data sync,Drawer header UI not updated to reflect configured default account at startup showing first account instead
151,5139,K-9 Mail,A2,Missing cases,Unified inbox pull-to-refresh lacked proper handling to delegate sync command to individual accounts
152,5088,K-9 Mail,A4,Lack of data sync,Port field state not reset when user switches account type mid-setup causing old protocol port to persist
153,5044,K-9 Mail,A3,Wrong control flow,SpecialLocalFoldersCreator persisted account before setup complete causing wrong control flow at startup
154,5026,K-9 Mail,A4,Lack of data sync,Delete updated in-memory UI but failed to persist removal to IMAP server causing deleted messages to reappear
155,5004,K-9 Mail,A8,Other wrong implementation,Email address parser split addresses by newline without considering newlines may be visual wrapping artifacts
156,4984,K-9 Mail,A5,Improper exception handling,Preview text extraction error on IMAP caused unhandled exception preventing messages from displaying
157,4951,K-9 Mail,A8,Other wrong implementation,HTML sanitizer incorrectly stripped body element attributes causing renderer to apply unwanted default padding
159,4935,K-9 Mail,A2,Missing cases,Image attachments with generic MIME type not matched to image renderers — missing case prevented inline image display
160,4872,K-9 Mail,A3,Wrong control flow,URL formatting applied angle-bracket expansion unconditionally without checking if already formatted
161,4804,K-9 Mail,A8,Other wrong implementation,Incorrect scroll boundary/height calculation prevented last folder entries from rendering when list required scrolling
162,4742,K-9 Mail,A2,Missing cases,Reply action failed to populate compose window with quoted message due to missing quoted-text insertion logic
163,4685,K-9 Mail,A8,Other wrong implementation,Draft save/load cycle stripped newline characters due to incorrect text serialization or parsing logic
164,4678,K-9 Mail,A3,Wrong control flow,POP3 deletion logic incorrectly handled trash folder mapping failing to move deleted messages
166,4517,K-9 Mail,A4,Lack of data sync,Background sync updated view hierarchy while changelog dialog was rendering causing layout shift
168,4453,K-9 Mail,A8,Other wrong implementation,Folder settings import failed due to class name mismatches between exported settings format and current codebase naming
170,4435,K-9 Mail,A3,Wrong control flow,Compose session incorrectly triggered draft save on close when no content modified — missing unmodified-state check
174,4374,K-9 Mail,A3,Wrong control flow,PGP sign-only mode applied encrypted subject replacement even when no encryption performed — wrong conditional branch
177,4333,K-9 Mail,A4,Lack of data sync,Folder update events not properly isolated from drawer UI state causing wrong order after expand-and-refresh
178,4304,K-9 Mail,A5,Improper exception handling,POP3 SSL download failed because connection not opened before attempting download
180,3866,K-9 Mail,A3,Wrong control flow,PR regression removed conditional check for background sync preference causing sync to fire when set to Never
182,3811,K-9 Mail,A7,Incorrect variable assignment,Subject field not transmitted because code passed null as plaintext subject when no crypto provider used
183,3685,K-9 Mail,A3,Wrong control flow,IMAP search incorrectly applied sync-window restriction to server-side searches causing repeated fetch/reject loop
184,6298,NewPipe,A2,Missing cases,Back button click handler never implemented in error report Activity so back navigation was missing case
187,3647,NewPipe,A2,Missing cases,Email intent construction omitted exception body when using direct reporting path — missing case in bug-reporter
188,3888,NewPipe,A4,Lack of data sync,Playback position state not shared between three player modes so switching modes lost current position
189,6419,NewPipe,A4,Lack of data sync,Background player notification UI not updated when playback speed changed — no sync mechanism for speed change
190,4040,NewPipe,A7,Incorrect variable assignment,Layout calculation for centering vertical videos did not pre-account for navigation bar height giving incorrect offset
192,5959,NewPipe,A3,Wrong control flow,Wrong control flow caused empty-state handler to hide channel header view even when header present for no-video channels
193,5036,NewPipe,A2,Missing cases,Export feature description string omitted mention of settings from exported content list
195,3149,NewPipe,A1,Missing features,Track name and album art never implemented to be passed to system media session metadata API
196,2272,NewPipe,A3,Wrong control flow,Wrong initialization control flow caused trending tab label to be re-translated multiple times during app startup
197,2848,NewPipe,A7,Incorrect variable assignment,Comment timestamp formatting incorrectly used device system locale instead of app-configured preferred language
200,5613,NewPipe,A7,Incorrect variable assignment,Aspect ratio preference stored and retrieved with off-by-one index shift causing wrong mode to restore
201,3238,NewPipe,A5,Improper exception handling,Extractor called Long.parseLong() on empty string without validation causing NumberFormatException crash
202,6138,NewPipe,A3,Wrong control flow,Download-started toast triggered when conflict dialog opened rather than after user confirmed overwrite
204,3851,NewPipe,A2,Missing cases,URL intent parser did not handle t= timestamp query parameter so shared YouTube links with timestamps started from beginning
206,5550,NewPipe,A2,Missing cases,Channel video pagination did not fetch next page after first because subsequent page request case not handled
208,3145,NewPipe,A8,Other wrong implementation,Change in NewPipeExtractor data structure caused visual regression in trending page layout rendering
211,4940,NewPipe,A3,Wrong control flow,Duplicate queue entries triggered incorrect playback state handling causing player to enter infinite buffering
214,2111,NewPipe,A7,Incorrect variable assignment,Large video downloads failed due to 32-bit offset overflow for files requiring 64-bit offsets in MP4 processor
218,4121,NewPipe,A3,Wrong control flow,Seek bar touch handler uses incorrect logic to classify gesture direction causing diagonal drags to misroute
220,5453,NewPipe,A3,Wrong control flow,Regression introduced wrong control flow in view initialization causing scroll events to fire instead of opening URLs
221,2626,NewPipe,A3,Wrong control flow,Prior code change broke livestream playback logic causing regression in control flow for live content
222,6371,NewPipe,A3,Wrong control flow,Preferred open action setting applies unconditionally to all content types when it should only apply to videos
223,2504,NewPipe,A2,Missing cases,App lacks fallback code path for Android 5.x devices where SAF behaves differently requiring legacy file picker
225,2924,NewPipe,A2,Missing cases,App does not handle reCAPTCHA challenge flow leaving users unable to play any video when YouTube demands CAPTCHA
226,2894,NewPipe,A7,Incorrect variable assignment,Negative time values displayed due to incorrect numeric formatting or wrong variable values in localized time string
227,5912,NewPipe,A7,Incorrect variable assignment,Search bar accepts clipboard content as rich text and renders HTML tags literally because input not sanitized
228,2922,NewPipe,A2,Missing cases,App fails to request SYSTEM_ALERT_WINDOW permission needed for popup mode on Android 10 where case not handled
230,4143,NewPipe,A8,Other wrong implementation,Second drag during player spring-back animation creates conflicting movement vectors causing jitter
235,5475,NewPipe,A4,Lack of data sync,Player title display one item behind due to timing mismatch between queue changes and UI observer update
236,6397,NewPipe,A3,Wrong control flow,Export database flow uses incorrect default folder navigation logic locking users out of folders after failed external save
237,1919,NewPipe,A4,Lack of data sync,After importing subscriptions UI list not refreshed because import completion event does not trigger view to reload data
239,3684,NewPipe,A2,Missing cases,Autoplay toggle only rendered for YouTube and code does not handle case of showing it for other services
241,3714,NewPipe,A5,Improper exception handling,reCAPTCHA WebView renders blank because app does not properly handle challenge response flow
244,2644,NewPipe,A8,Other wrong implementation,Clear search button triggers two overlapping animations simultaneously producing visual conflict
245,3681,NewPipe,A7,Incorrect variable assignment,Video durations in channel view incorrect due to wrong parsing or assignment of duration values
247,5660,NewPipe,A3,Wrong control flow,Deletion handler posts each file removal with fixed delay causing snackbars to pile up — incorrect control flow
248,4890,NewPipe,A7,Incorrect variable assignment,Licenses dialog shows wrong license version for Giga Get because license metadata entry contains incorrect stale value
249,5003,AntennaPod,A4,Lack of data sync,Miniplayer UI not cleared/updated when associated podcast deleted — lacks listener synchronizing state with deletion events
251,4010,AntennaPod,A8,Other wrong implementation,Navigation from player menu to podcast feed screen fails due to incorrect fragment transaction logic
252,4669,AntennaPod,A3,Wrong control flow,iTunes suggestions header not hidden when suggestions disabled because control flow condition does not check user preference
253,4715,AntennaPod,A8,Other wrong implementation,Touch events on audio player progress bar pass through to queue list because player view does not consume touch events
256,4202,AntennaPod,A4,Lack of data sync,Loading indicator resets on each individual podcast completion instead of tracking overall refresh batch operation
257,3209,AntennaPod,A7,Incorrect variable assignment,Wrong episode removed from favorites because incorrect index used mapping UI list position to underlying data item
258,5275,AntennaPod,A1,Missing features,Pull-to-refresh not wired to trigger refresh when queue list empty — swipe-refresh listener only attached when episodes present
259,4488,AntennaPod,A3,Wrong control flow,Search from single podcast page does not filter results to that podcast because logic does not pass podcast context as filter
262,3092,AntennaPod,A4,Lack of data sync,Queue time-left label not refreshed after download completes because UI component does not observe completion event
263,4550,AntennaPod,A2,Missing cases,Episodes page does not show empty-state message when list cleared because empty view never implemented for that screen
264,3275,AntennaPod,A3,Wrong control flow,Episodes appear and download twice because feed deduplication logic fails to correctly identify already-seen episodes
266,4640,AntennaPod,A2,Missing cases,Settings search result points to preference that no longer exists — search index not updated to match available settings
268,4879,AntennaPod,A4,Lack of data sync,Chapters missing from player UI after episode resume because chapter data not re-loaded when playback resumes
270,3573,AntennaPod,A3,Wrong control flow,Streaming confirmation dialog shown even with continuous playback disabled — condition checking setting incorrect
271,4776,AntennaPod,A4,Lack of data sync,Played/unplayed color indicator not refreshed after toggling status because UI does not receive data-change notification
272,3786,AntennaPod,A3,Wrong control flow,Download button triggers streaming when prefer-streaming enabled because button action logic incorrectly defers to streaming preference
274,4548,AntennaPod,A4,Lack of data sync,Filtered episode list not updated after deletion because filtered view does not observe data changes
275,4473,AntennaPod,A8,Other wrong implementation,Progress bar highlighted when tapping empty space near player controls because touch events reach progress bar instead of button area
276,2953,AntennaPod,A3,Wrong control flow,Failed downloads retried immediately because retry logic does not check or enforce scheduled interval
278,5090,AntennaPod,A8,Other wrong implementation,Shownotes tab title font size changes repeatedly during playback due to incorrect UI measurement triggered on each update
281,4026,AntennaPod,A8,Other wrong implementation,Playing episode no longer added to queue as regression in 2.0.0-alpha1 due to queue-addition logic incorrectly removed
283,5255,AntennaPod,A5,Improper exception handling,No friendly error message shown when refreshing feed with no internet — offline exception case not caught
284,4275,AntennaPod,A3,Wrong control flow,Video feed played through audio player because media-type detection logic incorrectly classifies video enclosures as audio
285,5252,AntennaPod,A4,Lack of data sync,Toolbar remains in multi-select mode after NavDrawer navigation because multi-select state not cleared on navigation event
286,4636,AntennaPod,A7,Incorrect variable assignment,Download statistics show negative traffic values because bandwidth metrics calculation produces incorrect negative numbers
287,4734,AntennaPod,A2,Missing cases,Share option in podcast info overflow menu missing a label making it invisible after share action moved to overflow
288,4146,AntennaPod,A5,Improper exception handling,Typing http in podcast search bar triggers error because input handler interprets protocol prefix as literal URL not search query
289,4524,AntennaPod,A4,Lack of data sync,Mass-selection icon from one Downloads tab overwrites trash icon in another tab because icon/menu state not isolated between tabs
290,15026,WordPress,A8,Other wrong implementation,Date formatter uses wrong API or format pattern causing weekday values to render as numbers instead of locale-aware names
291,14787,WordPress,A2,Missing cases,Story-creation flow does not handle case where freshly recorded video published without adding extra views
292,14430,WordPress,A2,Missing cases,Story composer initialization fails to handle case of loading pre-existing story data and auto-selecting first slide
293,14234,WordPress,A2,Missing cases,Stories prepublishing sheet does not fetch category data on its own initialization relying on another code path
294,14216,WordPress,A2,Missing cases,URL resolution logic only handles primary domain and lacks case for mapping non-primary domain links
296,13671,WordPress,A8,Other wrong implementation,Stats graph scaling algorithm incorrectly calculates Y-axis intervals for low-count datasets producing fractional values
297,13428,WordPress,A4,Lack of data sync,Upload notification lifecycle not synchronized with post deletion state so deleting post does not clear notification
299,13121,WordPress,A8,Other wrong implementation,Regression in Stats module countries map rendering logic causes map to render as blank white screen
301,13037,WordPress,A2,Missing cases,Reader verse block renderer does not handle case where verse text exceeds device screen width causing text clipping
304,12858,WordPress,A2,Missing cases,Post editor media picker does not apply unsupported-format filtering allowing unsupported types to be selected
306,12578,WordPress,A2,Missing cases,New unified signup flow does not trigger Quick Start prompt after site creation
308,12544,WordPress,A2,Missing cases,Reader's Media and Text block renderer does not parse or apply block's crop and image-side CSS attributes
310,12308,WordPress,A2,Missing cases,Reader card renderer does not handle case of empty post title and lacks fallback to untitled placeholder
313,11950,WordPress,A3,Wrong control flow,Empty-state logic uses wrong condition to select illustration on Likes tab causing wrong illustration
314,11679,WordPress,A2,Missing cases,Reader's button block renderer does not apply background-color CSS rule so button background absent
316,11019,WordPress,A2,Missing cases,Magic link login flow does not include logic to show post-signup interstitial for accounts with no sites
320,10951,WordPress,A2,Missing cases,Post creation REST API call omits discussion parameter so per-post comment settings default to disabled
322,10835,WordPress,A8,Other wrong implementation,Account settings form submits display name and password in single API call but backend requires separate request for password
323,10707,WordPress,A8,Other wrong implementation,Page list sort comparator performs case-sensitive comparison causing uppercase page names to sort incorrectly
324,10410,WordPress,A2,Missing cases,HTML entity decoding step not applied to author name fields after refactor — specific case not handled
325,10354,WordPress,A2,Missing cases,App fails to handle case where site capability is unset on self-hosted sites causing wrong button label
326,10288,WordPress,A3,Wrong control flow,Control flow determining which button to show does not correctly handle failed-upload state
327,10203,WordPress,A4,Lack of data sync,Post upload not synchronized with media upload so local image path not replaced by remote URL before submitting
328,10145,WordPress,A2,Missing cases,Logout flow missing case of clearing stats widget data so stale data persists in widgets after sign-out
329,9966,WordPress,A3,Wrong control flow,Save action for local draft incorrectly routes through publish code path triggering publish dialog
330,9935,WordPress,A4,Lack of data sync,Page list UI not synchronized with background upload service completion event
331,9899,WordPress,A2,Missing cases,Settings password field missing case of masking stored credentials displaying password in plaintext
334,9717,WordPress,A4,Lack of data sync,Empty-state view displayed before checking data availability — timing race between loading state and data binding
335,9658,WordPress,A3,Wrong control flow,Condition triggering async promo dialog incorrectly fires for any non-published status not only draft-to-publish
336,9604,WordPress,A8,Other wrong implementation,ViewModel refactoring introduced incorrect lifecycle or event handling causing Snackbar to be dismissed immediately
337,9603,WordPress,A4,Lack of data sync,Overlay and progress not hidden when restore operation completes — visibility not synchronized with completion event
338,9599,WordPress,A4,Lack of data sync,Notifications list state reset each time tab gains focus before fresh data loads causing brief empty-screen flash
339,9595,WordPress,A3,Wrong control flow,Filter logic for Drafts tab incorrectly conditions display of local drafts on presence of remote drafts
340,9575,WordPress,A2,Missing cases,Author filter does not handle self-hosted Jetpack site case where user identifier format differs
341,9573,WordPress,A3,Wrong control flow,Condition for updating publish date display field does not cover new post with backdated date so shows Immediately
342,9567,WordPress,A5,Improper exception handling,Post update flow does not handle offline exception case dismissing snackbar without informing user update failed
343,9088,WordPress,A4,Lack of data sync,Stats Overview tab and other stat blocks maintain independent date state not synchronized causing mismatch
344,8994,WordPress,A5,Improper exception handling,Stats data parser lacks null checks for required fields in VisitsAndViewsResponse causing stats blocks to fail rendering
345,8964,WordPress,A2,Missing cases,Local preview WebView does not propagate authentication credentials for private sites — missing case
347,8755,WordPress,A4,Lack of data sync,Preview renders local image path before upload completes causing data-sync mismatch between media state and post content
348,8754,WordPress,A7,Incorrect variable assignment,Access token obtained after 2FA not correctly applied in subsequent API call causing 401 error
349,8582,WordPress,A3,Wrong control flow,Likes notification filter condition overly restrictive excluding comment likes and only showing post likes
350,8570,WordPress,A3,Wrong control flow,Media-share-to-app flow incorrectly triggers publish action on unrelated draft due to wrong conditional logic
351,8521,WordPress,A5,Improper exception handling,Page action handlers do not handle offline exception case providing no error feedback when network operations fail
352,8520,WordPress,A4,Lack of data sync,Page list display state not refreshed when returning from editor leaving overflow menu icons in stale hidden state
354,8283,WordPress,A8,Other wrong implementation,Snackbar UI layout does not accommodate full length of existing-email message causing truncation
355,8222,WordPress,A5,Improper exception handling,When Google auth fails during sign-up error callback does not dismiss progress dialog leaving UI stuck
357,4583,Firefox,A2,Missing cases,Homescreen UI fails to refresh when language changed because language-change case not handled to trigger UI update
360,3617,Firefox,A4,Lack of data sync,Make-default-browser toggle UI state not updated after system action because code does not sync toggle with actual system setting
361,3081,Firefox,A3,Wrong control flow,Duplicate menu item appears because menu inflation logic inflates same item twice due to incorrect control flow
362,3939,Firefox,A4,Lack of data sync,Fingerprint authentication state not reset between shortcut launches so second open bypasses prompt due to stale auth session
364,3152,Firefox,A3,Wrong control flow,URL bar text cleared on status bar tap because focus event handler incorrectly triggers text-clear action
365,3790,Firefox,A4,Lack of data sync,Homescreen shortcuts open blank tabs after history clear because shortcut URL data lost and not re-synced
366,3829,Firefox,A3,Wrong control flow,Wrong code path used for default browser on Android above 6 because version-check condition incorrectly implemented
368,3563,Firefox,A3,Wrong control flow,Only bottom tab closed on new session because tab-closing logic does not iterate over all open tabs
369,3633,Firefox,A4,Lack of data sync,Toolbar URL not restored after download cancelled because UI state not synced back to current page URL
370,3258,Firefox,A3,Wrong control flow,Tips without deep links still styled as tappable because condition check for whether tip has deep link is missing
372,3291,Firefox,A7,Incorrect variable assignment,Removing search engine changes default because index tracking default engine not correctly updated after deletion
373,3892,Firefox,A3,Wrong control flow,Backspace skips character when autocomplete active because deletion logic does not correctly account for autocomplete offset
377,4097,Firefox,A2,Missing cases,Homescreen tips not updated on language change because language-change case not handled to refresh tips display
378,3069,Firefox,A4,Lack of data sync,Re-enabling tracker-blocked toggle only restores social trackers because cache not fully invalidated
379,3146,Firefox,A2,Missing cases,Block cookies setting label stays in old language because language-change case not handled to refresh this settings element
380,3937,Firefox,A3,Wrong control flow,Keyboard dismissed during URL bar typing when page finishes loading because page-load event incorrectly triggers dismissal
